Crime,Total,SOUTHERN,MISSION,NORTHERN
KIDNAPPING,4853,705,636,496
WEAPON LAWS,18543,2383,2908,1712
SECONDARY CODES,21649,2548,2982,2158
WARRANTS,89819,19277,14188,9727
LOITERING,2358,804,377,399
EMBEZZLEMENT,2588,567,259,296
SEX OFFENSES NON FORCIBLE,335,54,56,24
PORNOGRAPHY/OBSCENE MAT,47,5,6,6
SUICIDE,1131,141,157,161
DRIVING UNDER THE INFLUENCE,4959,659,763,539
ROBBERY,48744,8287,7627,5647
BURGLARY,79012,10654,8016,12479
SUSPICIOUS OCC,67828,10747,8344,7156
ARSON,3285,386,333,325
BRIBERY,673,93,132,40
FORGERY/COUNTERFEITING,21808,4837,2636,2666
PROSTITUTION,15657,414,7104,3878
BAD CHECKS,862,165,82,132
DRUNKENNESS,9036,1995,1633,741
GAMBLING,309,36,41,22
OTHER OFFENSES,269389,44991,40927,26490
RECOVERED VEHICLE,6346,666,668,550
FRAUD,36021,7428,4234,4542
FAMILY OFFENSES,1083,111,296,52
SEX OFFENSES FORCIBLE,9555,1798,1550,993
DRUG/NARCOTIC,111475,19056,18134,9582
TRESPASS,15813,3174,2202,1738
LARCENY/THEFT,386056,93113,38701,63740
VANDALISM,96417,14151,11396,11758
NON-CRIMINAL,201093,42539,26980,22280
EXTORTION,621,83,55,55
LIQUOR LAWS,3866,783,1005,252
TREA,10,1,1,1
VEHICLE THEFT,114303,10105,15520,13380
STOLEN PROPERTY,10098,2263,1375,1528
ASSAULT,165410,26101,23959,17909
MISSING PERSON,55613,6774,7093,4163
DISORDERLY CONDUCT,8995,1136,2345,991
RUNAWAY,3999,230,564,192
